,ID_MUNICIP,GRUPO_IDADE,CASOS,VAC,N_VAC,I_VAC,SG_UF_NOT
656,160053,"(0, 4]",3,0.0,2.0,1.0,16
657,160053,"(4, 9]",1,1.0,0.0,0.0,16
658,160060,"(0, 4]",147,9.0,106.0,32.0,16
659,160060,"(14, 19]",11,0.0,6.0,5.0,16
660,160060,"(19, 29]",23,2.0,13.0,8.0,16
661,160060,"(29, 39]",6,0.0,3.0,3.0,16
662,160060,"(4, 9]",18,1.0,10.0,7.0,16
663,160060,"(9, 14]",11,0.0,7.0,4.0,16
664,160060,nan,1,0.0,1.0,0.0,16
665,160070,"(0, 4]",1,0.0,1.0,0.0,16
666,160070,"(39, 49]",1,1.0,0.0,0.0,16
667,160070,"(4, 9]",1,0.0,0.0,1.0,16
668,160070,"(9, 14]",1,0.0,0.0,1.0,16
669,160080,"(0, 4]",1,0.0,0.0,1.0,16
670,170210,"(0, 4]",1,0.0,0.0,1.0,17
671,171820,"(0, 4]",2,0.0,2.0,0.0,17
672,210203,"(0, 4]",1,0.0,1.0,0.0,21
673,210290,"(0, 4]",6,1.0,3.0,2.0,21
674,210290,"(14, 19]",4,2.0,1.0,1.0,21
675,210290,"(19, 29]",4,0.0,4.0,0.0,21
676,210290,"(29, 39]",2,0.0,1.0,1.0,21
677,210290,"(39, 49]",1,0.0,1.0,0.0,21
678,210290,"(4, 9]",1,0.0,1.0,0.0,21
679,210290,"(9, 14]",1,0.0,1.0,0.0,21
680,210300,"(0, 4]",1,0.0,1.0,0.0,21
681,210330,"(19, 29]",1,0.0,0.0,1.0,21
682,210570,"(0, 4]",1,0.0,1.0,0.0,21
683,210600,"(0, 4]",1,0.0,1.0,0.0,21
684,210820,"(29, 39]",1,0.0,1.0,0.0,21
685,211130,"(0, 4]",2,2.0,0.0,0.0,21
686,211130,"(29, 39]",1,0.0,1.0,0.0,21
687,211130,"(4, 9]",1,1.0,0.0,0.0,21
688,211300,"(39, 49]",1,0.0,0.0,1.0,21
689,220110,"(0, 4]",1,1.0,0.0,0.0,22
690,220213,"(0, 4]",1,0.0,1.0,0.0,22
691,220557,"(0, 4]",1,0.0,0.0,1.0,22
692,220557,"(19, 29]",2,1.0,0.0,1.0,22
693,220600,"(29, 39]",1,1.0,0.0,0.0,22
694,220635,"(0, 4]",1,1.0,0.0,0.0,22
695,220770,"(19, 29]",1,1.0,0.0,0.0,22
696,220800,"(0, 4]",1,0.0,1.0,0.0,22
697,220800,"(19, 29]",1,1.0,0.0,0.0,22
698,220840,"(0, 4]",2,0.0,2.0,0.0,22
699,220995,"(39, 49]",1,1.0,0.0,0.0,22
700,221100,"(0, 4]",2,0.0,1.0,1.0,22
701,221100,"(14, 19]",1,0.0,0.0,1.0,22
702,221100,"(39, 49]",1,0.0,1.0,0.0,22
703,221100,"(49, 59]",1,0.0,1.0,0.0,22
704,230015,"(14, 19]",1,1.0,0.0,0.0,23
705,230075,"(0, 4]",1,1.0,0.0,0.0,23
706,230100,"(0, 4]",1,0.0,1.0,0.0,23
707,230110,"(0, 4]",2,2.0,0.0,0.0,23
708,230140,"(14, 19]",1,1.0,0.0,0.0,23
