,ID_MUNICIP,"(0, 4]","(14, 19]","(19, 29]","(29, 39]","(39, 49]","(4, 9]","(49, 59]","(59, 69]","(69, 79]","(79, 120]","(9, 14]",TOTAL
594,352500,9.0,8.0,15.0,7.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,48.0
595,352520,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
596,352530,5.0,4.0,5.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0
597,352550,3.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0
598,352570,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
599,352585,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
600,352590,57.0,24.0,47.0,37.0,6.0,3.0,7.0,0.0,0.0,0.0,1.0,182.0
601,352600,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
602,352610,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
603,352620,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
604,352640,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
605,352670,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
606,352690,29.0,13.0,9.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0
607,352710,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
608,352720,5.0,0.0,3.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,12.0
609,352730,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0
610,352740,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
611,352760,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
612,352840,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
613,352850,38.0,5.0,19.0,7.0,5.0,8.0,3.0,1.0,0.0,1.0,5.0,92.0
614,352890,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0
615,352900,23.0,2.0,2.0,3.0,3.0,3.0,1.0,0.0,0.0,0.0,3.0,40.0
616,352930,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
617,352940,88.0,38.0,91.0,45.0,10.0,1.0,8.0,1.0,1.0,0.0,3.0,286.0
618,352960,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
619,353010,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
620,353030,6.0,2.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,12.0
621,353040,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
