"Município";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"2023";" Total"
"130002 ALVARAES";"0";"0";"32,08";"35,86";"90,60";"71,87";"121,35";"104,96";"131,38";"88,18";"93,57";"89,97";"72,75";"82,01";"91,18";"109,09";"70,00";"96,41";"75,82";"121,74";"83,79";"91,77";"103,59";"92,19";"59,46";"80,03"
"130006 AMATURA";"0";"0";"25,77";"57,78";"74,82";"89,47";"126,45";"57,83";"180,00";"73,87";"165,27";"118,41";"91,63";"85,77";"123,97";"150,83";"116,48";"92,80";"110,98";"100,71";"112,36";"108,61";"81,89";"117,74";"87,29";"95,85"
"130008 ANAMA";"0";"0";"38,42";"61,27";"156,31";"154,02";"155,56";"141,15";"113,86";"113,33";"90,11";"110,44";"118,13";"142,86";"88,44";"93,47";"99,01";"45,97";"77,73";"119,34";"137,76";"97,96";"88,95";"75,00";"127,03";"99,55"
"130010 ANORI";"0";"0";"16,56";"97,24";"129,52";"103,75";"78,95";"82,01";"100,00";"83,10";"102,36";"110,63";"87,80";"78,35";"89,43";"132,79";"103,86";"69,60";"110,40";"93,56";"88,33";"86,77";"103,86";"86,43";"53,70";"86,09"
"130014 APUI";"0";"0";"29,14";"48,94";"59,19";"73,11";"103,82";"109,89";"100,00";"113,86";"128,21";"110,26";"108,97";"81,20";"84,10";"129,90";"104,48";"107,62";"91,48";"120,38";"108,15";"85,41";"87,03";"78,87";"41,32";"82,12"
"130020 ATALAIA DO NORTE";"0";"0";"12,66";"42,77";"78,70";"113,90";"76,17";"75,00";"131,46";"126,89";"95,15";"89,00";"99,68";"118,77";"95,64";"152,25";"140,91";"66,74";"83,83";"138,56";"89,53";"42,15";"41,53";"80,00";"40,00";"85,03"
"130030 AUTAZES";"0";"4,58";"12,48";"76,56";"101,43";"83,55";"73,36";"91,68";"132,16";"129,02";"97,08";"144,16";"106,08";"76,28";"132,81";"103,08";"93,72";"43,38";"72,90";"117,44";"95,76";"68,23";"84,52";"79,03";"36,57";"86,66"
"130040 BARCELOS";"0";"0";"18,05";"42,68";"41,25";"105,11";"79,44";"69,12";"86,73";"69,54";"101,01";"93,58";"89,86";"100,00";"112,84";"67,16";"31,11";"76,77";"92,17";"84,27";"55,73";"57,44";"42,27";"35,01";"12,86";"58,01"
"130050 BARREIRINHA";"0";"0";"44,25";"65,01";"95,77";"113,99";"108,63";"118,26";"94,65";"103,59";"97,41";"90,09";"80,03";"81,71";"73,00";"207,21";"77,15";"77,52";"90,71";"99,50";"52,99";"78,39";"56,71";"61,23";"43,59";"83,51"
"130060 BENJAMIN CONSTANT";"0";"0";"51,77";"116,18";"107,73";"106,96";"118,44";"96,81";"99,79";"86,23";"122,73";"82,98";"97,25";"102,33";"135,60";"76,10";"120,08";"55,97";"82,37";"94,97";"119,73";"47,64";"25,53";"35,26";"22,83";"83,23"
"130063 BERURI";"0";"0";"74,52";"72,92";"98,88";"139,75";"102,11";"112,01";"150,16";"66,85";"119,53";"93,75";"75,52";"85,94";"82,29";"130,21";"88,73";"77,85";"84,27";"101,58";"73,70";"57,12";"46,67";"68,24";"70,71";"85,44"
"130068 BOA VISTA DO RAMOS";"0";"0";"18,73";"128,98";"124,68";"86,79";"119,15";"112,90";"127,06";"85,60";"88,54";"104,95";"99,48";"129,43";"162,95";"244,62";"115,94";"109,54";"86,46";"95,51";"82,13";"85,58";"142,12";"126,42";"83,06";"105,50"
"130070 BOCA DO ACRE";"0";"23,22";"14,12";"74,77";"65,73";"67,39";"120,32";"105,17";"80,21";"97,19";"90,40";"93,35";"87,59";"85,38";"90,38";"81,92";"77,56";"58,06";"68,72";"79,02";"69,91";"53,70";"42,48";"65,18";"54,38";"72,39"
"130080 BORBA";"0";"0";"25,86";"64,89";"77,01";"92,26";"87,85";"152,61";"111,59";"114,52";"114,24";"100,00";"104,07";"124,57";"104,46";"128,26";"126,00";"112,69";"116,78";"112,71";"86,57";"67,00";"63,30";"76,10";"47,25";"89,50"
"130083 CAAPIRANGA";"0";"0";"18,91";"39,64";"44,91";"175,95";"275,15";"119,90";"97,61";"52,13";"87,77";"84,57";"90,96";"76,06";"109,94";"105,80";"109,85";"64,04";"79,80";"92,35";"76,39";"64,81";"110,65";"75,00";"30,59";"83,59"
"130090 CANUTAMA";"0";"0";"16,15";"67,51";"47,99";"117,71";"127,36";"208,13";"86,56";"64,09";"118,23";"139,58";"189,58";"90,10";"107,87";"108,45";"110,77";"91,77";"96,54";"81,11";"90,05";"55,50";"62,50";"82,74";"69,88";"90,66"
"130100 CARAUARI";"0";"0";"23,80";"64,53";"76,45";"89,98";"99,50";"89,92";"103,24";"82,79";"79,51";"78,21";"58,86";"61,30";"80,42";"106,00";"50,16";"50,00";"84,26";"85,46";"94,73";"103,35";"71,97";"73,68";"36,97";"71,69"
"130110 CAREIRO";"0";"0";"6,53";"39,19";"64,89";"59,90";"199,35";"138,48";"148,16";"144,54";"154,07";"175,00";"124,71";"149,13";"112,55";"154,48";"93,44";"80,61";"121,04";"114,44";"107,42";"106,45";"114,54";"111,15";"42,69";"102,01"
